cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,population,habitat,class
x,s,n,t,f,c,k,e,e,s,s,w,w,p,w,o,p,s,u,p
x,s,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,n,g,e
b,s,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,w,t,f,c,n,e,e,s,s,w,w,p,w,o,p,s,u,p
x,s,g,f,f,w,k,t,e,s,s,w,w,p,w,o,e,a,g,e
x,y,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,g,e
b,s,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,n,m,e
b,y,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,m,e
x,y,w,t,f,c,p,e,e,s,s,w,w,p,w,o,p,v,g,p
b,s,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,m,e
x,y,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,n,g,e
x,y,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,m,e
b,s,y,t,f,c,w,e,c,s,s,w,w,p,w,o,p,s,g,e
x,y,w,t,f,c,k,e,e,s,s,w,w,p,w,o,p,v,u,p
x,f,n,f,f,w,n,t,e,s,f,w,w,p,w,o,e,a,g,e
s,f,g,f,f,c,k,e,e,s,s,w,w,p,w,o,p,y,u,e
f,f,w,f,f,w,k,t,e,s,s,w,w,p,w,o,e,a,g,e
x,s,n,t,f,c,n,e,e,s,s,w,w,p,w,o,p,s,g,p
x,y,w,t,f,c,n,e,e,s,s,w,w,p,w,o,p,s,u,p
x,s,n,t,f,c,k,e,e,s,s,w,w,p,w,o,p,s,u,p
b,s,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,m,e
x,y,n,t,f,c,n,e,e,s,s,w,w,p,w,o,p,v,g,p
b,y,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,m,e
b,y,w,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,m,e
b,s,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,m,e
f,s,w,t,f,c,n,e,e,s,s,w,w,p,w,o,p,v,g,p
x,y,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,w,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,m,e
f,f,n,f,f,c,k,e,e,s,s,w,w,p,w,o,p,y,u,e
x,s,y,t,f,w,n,t,b,s,s,w,w,p,w,o,p,v,d,e
b,s,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,w,t,f,c,k,e,e,s,s,w,w,p,w,o,p,s,u,p
x,y,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,n,t,f,c,p,e,r,s,y,w,w,p,w,o,p,y,p,e
b,y,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,m,e
x,f,y,t,f,w,w,t,b,s,s,w,w,p,w,o,p,v,d,e
s,f,g,f,f,c,k,e,e,s,s,w,w,p,w,o,p,v,u,e
x,y,n,t,f,c,w,e,e,s,s,w,w,p,w,o,p,s,u,p
x,f,y,t,f,w,p,t,b,s,s,w,w,p,w,o,p,v,d,e
b,s,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,m,e
b,y,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,g,e
x,y,y,t,f,c,n,e,r,s,y,w,w,p,w,o,p,y,p,e
x,f,n,f,f,c,g,e,e,s,s,w,w,p,w,o,p,y,u,e
x,y,w,t,f,c,p,e,e,s,s,w,w,p,w,o,p,v,g,p
x,s,y,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,g,e
x,y,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,m,e
x,s,w,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,y,t,f,c,n,e,r,s,y,w,w,p,w,o,p,s,p,e
f,y,y,t,f,c,w,e,r,s,y,w,w,p,w,o,p,s,p,e
x,y,n,t,f,c,w,e,r,s,y,w,w,p,w,o,p,s,g,e
x,s,w,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,g,e
b,s,w,t,f,c,k,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,n,t,f,c,k,e,e,s,s,w,w,p,w,o,p,v,u,p
x,s,w,t,f,c,k,e,e,s,s,w,w,p,w,o,p,v,u,p
b,y,y,t,f,c,w,e,c,s,s,w,w,p,w,o,p,s,m,e
f,f,g,f,f,w,n,t,e,s,s,w,w,p,w,o,e,a,g,e
b,s,w,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,g,e
x,s,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,n,g,e
x,y,n,t,f,c,p,e,r,s,y,w,w,p,w,o,p,y,p,e
s,f,g,f,f,c,k,e,e,s,s,w,w,p,w,o,p,v,u,e
b,y,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,m,e
b,s,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,m,e
b,y,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,n,m,e
b,y,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,g,e
f,s,n,f,f,w,k,t,e,s,s,w,w,p,w,o,e,a,g,e
x,s,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,g,e
f,y,y,t,f,c,w,e,r,s,y,w,w,p,w,o,p,s,g,e
x,y,y,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,g,e
x,f,g,f,f,c,p,e,e,s,s,w,w,p,w,o,p,v,u,e
f,f,y,t,f,w,p,t,b,s,s,w,w,p,w,o,p,v,d,e
b,y,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,m,e
f,f,y,t,f,w,w,t,b,s,s,w,w,p,w,o,p,v,d,e
x,y,n,t,f,c,p,e,r,s,y,w,w,p,w,o,p,s,p,e
b,s,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,g,e
f,s,y,t,f,w,p,t,b,s,s,w,w,p,w,o,p,v,d,e
x,s,w,t,f,w,n,t,b,s,s,w,w,p,w,o,p,v,d,e
f,y,n,t,f,c,p,e,r,s,y,w,w,p,w,o,p,y,p,e
x,y,n,t,f,c,w,e,e,s,s,w,w,p,w,o,p,v,u,p
f,y,n,t,f,c,n,e,r,s,y,w,w,p,w,o,p,y,g,e
x,s,n,f,f,w,k,t,e,f,s,w,w,p,w,o,e,s,g,e
x,y,w,t,f,c,w,e,e,s,s,w,w,p,w,o,p,s,g,p
f,f,g,f,f,c,n,e,e,s,s,w,w,p,w,o,p,y,u,e
x,f,g,f,f,w,n,t,e,s,s,w,w,p,w,o,e,s,g,e
x,y,y,t,f,c,w,e,r,s,y,w,w,p,w,o,p,s,g,e
x,s,n,f,f,w,k,t,e,s,s,w,w,p,w,o,e,s,g,e
b,s,w,t,f,c,w,e,c,s,s,w,w,p,w,o,p,s,g,e
x,s,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,g,e
f,y,n,t,f,c,w,e,r,s,y,w,w,p,w,o,p,y,g,e
s,f,n,f,f,c,n,e,e,s,s,w,w,p,w,o,p,v,u,e
x,f,n,f,f,c,n,e,e,s,s,w,w,p,w,o,p,y,u,e
b,s,w,t,f,c,k,e,c,s,s,w,w,p,w,o,p,s,g,e
x,y,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,g,e
x,y,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,n,m,e
x,s,n,f,f,w,n,t,e,s,s,w,w,p,w,o,e,a,g,e
x,s,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,g,e
f,y,n,t,f,c,p,e,r,s,y,w,w,p,w,o,p,s,g,e
x,s,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,g,e
b,s,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,g,e
x,y,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,g,e
x,f,n,f,f,w,p,t,e,f,s,w,w,p,w,o,e,s,g,e
b,s,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,g,e
f,y,y,t,f,c,w,e,r,s,y,w,w,p,w,o,p,s,g,e
x,y,y,t,f,c,n,e,r,s,y,w,w,p,w,o,p,y,p,e
b,y,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,n,g,e
x,y,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,y,t,f,c,w,e,r,s,y,w,w,p,w,o,p,y,g,e
b,y,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,m,e
b,y,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,m,e
x,s,y,t,f,c,k,e,c,s,s,w,w,p,w,o,p,n,m,e
x,s,y,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,g,e
s,f,g,f,f,c,g,e,e,s,s,w,w,p,w,o,p,y,u,e
x,f,w,t,f,w,w,t,b,s,s,w,w,p,w,o,p,v,d,e
x,s,y,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,m,e
x,y,w,t,f,c,n,e,e,s,s,w,w,p,w,o,p,v,u,p
x,y,y,t,f,c,p,e,r,s,y,w,w,p,w,o,p,s,g,e
s,f,g,f,f,c,p,e,e,s,s,w,w,p,w,o,p,y,u,e
x,y,y,t,f,c,w,e,r,s,y,w,w,p,w,o,p,y,g,e
x,s,y,t,f,w,p,t,b,s,s,w,w,p,w,o,p,v,d,e
s,f,n,f,f,c,k,e,e,s,s,w,w,p,w,o,p,y,u,e
x,s,w,t,f,c,k,e,e,s,s,w,w,p,w,o,p,v,g,p
x,y,w,t,f,c,g,e,c,s,s,w,w,p,w,o,p,n,m,e
f,y,n,t,f,c,p,e,e,s,s,w,w,p,w,o,p,v,g,p
f,s,g,f,f,w,k,t,e,s,s,w,w,p,w,o,e,a,g,e
x,s,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,m,e
x,s,w,f,f,w,n,t,e,s,f,w,w,p,w,o,e,s,g,e
b,s,y,t,f,c,w,e,c,s,s,w,w,p,w,o,p,n,g,e
f,f,g,f,f,w,h,t,e,s,s,w,w,p,w,o,e,a,g,e
x,s,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,n,g,e
b,s,w,t,f,c,n,e,c,s,s,w,w,p,w,o,p,s,m,e
b,s,w,t,f,c,w,e,c,s,s,w,w,p,w,o,p,s,g,e
b,y,w,t,f,c,w,e,c,s,s,w,w,p,w,o,p,s,m,e
f,s,w,t,f,w,w,t,b,s,s,w,w,p,w,o,p,v,d,e
x,y,y,t,f,c,g,e,c,s,s,w,w,p,w,o,p,s,m,e
f,s,w,t,f,w,p,t,b,s,s,w,w,p,w,o,p,v,d,e
